,ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
298,30410,Central Mexico,Place found,,
300,30411,Central Mexico,Place found,,
563,30583,East of Rockies,Place found,,
572,30588,East Pennsylvania,Place found,,
577,30591,East of Rockies,Place found,,
578,30592,East of Rockies,Place found,,
608,30607,East of Rockies,Place found,,
625,30615,East of Rockies,Place found,,
635,30619,East of Rockies,Place found,,
1715,31241,county,Place found,,
2654,31783,Mesa Verde National Park,Place found,,
4020,32553,county,Place found,,
4290,32720,Northwest,Place found,,
4293,32733,Laguna Pueblo,Place found,,
4296,32743,Laguna Pueblo,Place found,,
4304,32758,Laguna Pueblo,Place found,,
5351,33502,tundra,Place found,,
5415,33536,Arctic Coast,Place found,,
6220,33980,Central Mexico,Place found,,
6222,33981,Central Mexico,Place found,,
6226,33983,Jaina Island,Place found,,
6227,33984,Central Mexico,Place found,,
6264,34003,Central Mexico,Place found,,
6952,34484,East of Rockies,Place found,,
7013,36724,Trail's End,Place Made,,
7021,36752,Trail's End,Place Made,,
7022,36753,Trail's End,Place Made,,
7023,36757,Trail's End,Place Made,,
7024,36758,Trail's End,Place Made,,
7027,36763,Trail's End,Place Made,,
7028,36774,Trail's End,Place Made,,
7029,36794,Trail's End,Place Made,,
7030,36795,Trail's End,Place Made,,
7031,36796,Trail's End,Place Made,,
7035,36801,Trail's End,Place Made,,
7081,36956,Trail's End,Place Made,,
7082,36962,Bull Head Lodge,Place Made,,
7085,36988,Trail's End,Place Made,,
7086,36992,Trail's End,Place Made,,
7092,37022,Trail's End,Place Made,,
7163,37145,Trail's End,Place Made,,
7191,37190,Trail's End,Place Made,,
7242,37269,Trail's End,Place Made,,
7272,37310,Trail's End,Place Made,,
7282,37340,Trail's End,Place Made,,
7336,37431,Eastern Oklahoma,Place found,,
7368,37472,Trail's End,Place Made,,
7369,37473,Trail's End,Place Made,,
7370,37474,Trail's End,Place Made,,
7663,38160,Trail's End,Place Made,,
7665,38163,Trail's End,Place Made,,
7687,38191,Trail's End,Place Made,,
7773,38406,Trail's End,Place Made,,
7781,38420,Trail's End,Place Made,,
7791,38454,Trail's End,Place Made,,
7805,38474,Trail's End,Place Made,,
7904,38755,Trail's End,Place Made,,
